25321,1500
25322,1500
25323,1500
25324,1500
25325,1500
25326,1500
25327,1500
25328,1500
25329,1500
25330,1500
25331,1500
25332,1500
25333,1500
25334,1500
25335,1500
25336,1500
25337,1500
25338,1500
25339,1500
25340,1500
25341,1500
25342,1500
25343,1500
25344,1500
25345,1500
25346,1500
25347,1500
25348,1500
25349,1500
25350,1500
25351,1500
25352,1500
25353,1500
25354,1500
25355,1500
25356,1500
25357,1500
25358,1500
25359,1500
25360,1500
25361,1500
25362,1500
25363,1500
25364,1500
25365,1500
25366,1500
25367,1500
25368,1500
25369,1500
25370,1500
